Order ID,Product ID,Product Name,Category,Sub-Category,Price
CA-2016-152156,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,130.98
CA-2016-152156,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,243.98000000000002
US-2015-108966,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,191.5155
CA-2014-115812,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,6.9799999999999995
CA-2014-115812,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,189.576
US-2017-156909,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,35.686
CA-2015-106320,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,348.21000000000004
US-2015-150630,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,440.48999999999995
US-2015-150630,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,41.4
CA-2016-117590,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,38.184
CA-2015-117415,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,177.4664
CA-2015-117415,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,70.68599999999999
CA-2015-115742,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,3.08
CA-2015-115742,FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,89.99
CA-2016-111682,FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,63.882000000000005
CA-2015-135545,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,19.94
US-2015-164175,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,42.623000000000005
US-2015-134026,FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,103.992
US-2015-134026,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,48.52
US-2017-118038,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,3.236
US-2014-147606,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,3.8600000000000003
CA-2017-140088,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,150.98
CA-2015-149587,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,17.78
CA-2017-161018,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,13.790000000000001
US-2015-156867,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,34.12
CA-2017-146780,FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,20.98
CA-2015-110457,FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,262.51
CA-2016-103730,FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,15.68
US-2014-152030,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,200.186
US-2014-134614,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,102.95
US-2016-125969,FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,40.712
US-2016-125969,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,79.52
CA-2016-145583,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,3.0799999999999996
CA-2016-110366,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,41.4
CA-2014-110072,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,23.472
CA-2016-114489,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,243.98
